Date,Demand,Net_generation
2016-03-31,243835.0,298040.0
2016-04-01,239323.0,287241.0
2016-04-02,233829.0,275867.0
2016-04-03,233016.0,278093.0
2016-04-04,250710.0,298889.0
2016-04-05,257807.0,309535.0
2016-04-06,260889.0,314781.0
2016-04-07,267134.0,322915.0
2016-04-08,257442.0,311674.0
2016-04-09,242274.0,282767.0
2016-04-10,234032.0,268659.0
2016-04-11,234582.0,276765.0
2016-04-12,244545.0,280752.0
2016-04-13,246063.0,276328.0
2016-04-14,257215.0,286260.0
2016-04-15,256889.0,284651.0
2016-04-16,235025.0,263160.0
2016-04-17,232854.0,268747.0
2016-04-18,246251.0,288644.0
2016-04-19,252439.0,299443.0
2016-04-20,260818.0,307093.0
2016-04-21,271648.0,319922.0
2016-04-22,279362.0,318892.0
2016-04-23,269757.0,297306.0
2016-04-24,248248.0,273018.0
2016-04-25,256524.0,288895.0
2016-04-26,244727.0,279216.0
2016-04-27,246556.0,282694.0
2016-04-28,249723.0,289817.0
2016-04-29,245594.0,284064.0
2016-04-30,240610.0,273248.0
2016-05-01,229748.0,262767.0
2016-05-02,248402.0,295481.0
2016-05-03,265104.0,321997.0
2016-05-04,283663.0,336672.0
2016-05-05,294805.0,336341.0
2016-05-06,274849.0,318215.0
2016-05-07,243837.0,284811.0
2016-05-08,218000.0,265487.0
2016-05-09,214648.0,265488.0
2016-05-10,230918.0,285713.0
2016-05-11,241642.0,305618.0
2016-05-12,257048.0,335237.0
2016-05-13,271724.0,343152.0
2016-05-14,271915.0,332678.0
2016-05-15,254363.0,307378.0
2016-05-16,252207.0,309176.0
2016-05-17,250521.0,327011.0
2016-05-18,261846.0,333474.0
2016-05-19,278650.0,350287.0
2016-05-20,299189.0,361063.0
2016-05-21,285167.0,334191.0
2016-05-22,267358.0,313947.0
2016-05-23,275554.0,326287.0
2016-05-24,282016.0,340366.0
2016-05-25,278074.0,330138.0
2016-05-26,274891.0,326314.0
2016-05-27,275919.0,335218.0
2016-05-28,279746.0,337479.0
2016-05-29,284060.0,341349.0
2016-05-30,284422.0,352336.0
2016-05-31,294906.0,372669.0
2016-06-01,313357.0,396861.0
2016-06-02,328971.0,409935.0
2016-06-03,354323.0,438558.0
2016-06-04,364792.0,451652.0
2016-06-05,365539.0,442023.0
